AREA_NAME_EN,STATUS_CODE,PRE_REGISTRATION_NUMBER,PROJECT_NAME_EN,MASTER_PROJECT_EN,LAND_TYPE_EN,STATUS_CODE_EN,PROCEDURE_NAME_EN,CREATION_week_category,CREATION_year_category,CREATION_day_name,CREATION_after_min_date,CREATION_hour_category,CREATION_month_name,CURRENT_STATUS_week_category,CURRENT_STATUS_year_category,CURRENT_STATUS_day_name,CURRENT_STATUS_after_min_date,CURRENT_STATUS_hour_category,CURRENT_STATUS_month_name,INSTANCE_DATE_week_category,INSTANCE_DATE_year_category,INSTANCE_DATE_day_name,INSTANCE_DATE_after_min_date,INSTANCE_DATE_month_name,PROCEDURE_DATE_week_category,PROCEDURE_DATE_day_name,PROCEDURE_DATE_after_min_date,PROCEDURE_DATE_month_name,PROCEDURE_YEAR_str,SEPARATED_REFERENCE_str,CREATION_year_after_min_year_str,MUNC_ZIP_CODE_str,SEPARATED_FROM_str,PRE_REGISTRATION_NUMBER_first_portion,CURRENT_STATUS_year_after_min_year,SEPARATED_REFERENCE,INSTANCE_DATE_day_normalized,INSTANCE_DATE_year_after_min_year,tree_3,PROCEDURE_AREA,CREATION_year_after_min_year,PROCEDURE_NUMBER,MUNC_NUMBER,MUNC_ZIP_CODE,ACTUAL_WORTH
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Wednesday,1190,"""12""",April,48,2011,Sunday,2589,11,December,23,"""2016""",Tuesday,491,June,9,Monday,414,February,"""2016.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.22580645161290303,1,5,-0.0168613177932185,3,-0.148832990675909,0.7768358830684989,-0.18655993111095898,5283888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Thursday,1190,"""10""",April,48,2011,Sunday,2589,11,December,30,"""2016""",Monday,539,July,29,Saturday,559,July,"""2016.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.806451612903226,1,5,-0.0307922223474878,3,0.23903879664616604,0.7679215491579591,-0.18655993111095898,5024888.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,33,"""2013""",Monday,Rare cases,"""10""",August,9,2010,Monday,1946,12,March,Rare cases,"""2018""",Thursday,Rare cases,July,27,Thursday,Rare cases,July,"""2018.0""",253306.0,"""0""",332.0,253306.0,Unknown,6.0,-0.26481769939980804,0.161290322580645,3,5,0.0667598871363887,0,1.84628557235908,0.0200558516105614,-1.91899971783021,4680000.0
Wadi Al Safa 7,VACANT,Rare cases,ARABIAN RANCHES- AZALEA COMMUNITY,558 Villa,Residential,Vacant,Delayed Sell,10,"""2015""",Sunday,794,"""11""",March,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,30,"""2016""",Sunday,Rare cases,July,28,Saturday,Rare cases,July,"""2016.0""",90787.0,"""2""",665.0,12631339.0,AR,7.0,-0.320149281494146,1.0,1,5,-0.0647660388046088,2,0.359362201036117,0.330415424338042,0.0104399108571162,3480888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""11""",July,48,2011,Sunday,2589,11,December,45,"""2017""",Monday,Rare cases,November,Rare cases,Monday,Rare cases,November,"""2017.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.193548387096774,2,5,-0.0184101898993593,3,1.1003782890473999,0.826568482779932,-0.18655993111095898,4000000.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,15,"""2018""",Wednesday,Rare cases,April,4,Monday,Rare cases,January,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.354838709677419,3,4,-0.0930601606280471,4,-1.09968135707454,0.6313914876860071,1.4647622736214299,1568000.0
Wadi Al Safa 7,VACANT,Rare cases,ARABIAN RANCHES- AZALEA COMMUNITY,558 Villa,Residential,Vacant,Delayed Sell,10,"""2015""",Sunday,794,"""11""",March,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,31,"""2015""",Wednesday,Rare cases,July,17,Monday,Rare cases,April,"""2015.0""",90787.0,"""2""",665.0,12631339.0,AR,7.0,-0.320149281494146,0.9354838709677421,0,5,-0.0545261903954836,2,0.6577251143607901,0.368653225059568,0.0104399108571162,4129888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Tuesday,1294,"""13""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Monday,539,July,29,Saturday,559,July,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.806451612903226,1,5,-0.0344057603506498,3,0.251755904427218,0.814369920586562,-0.18655993111095898,4976888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""11""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Thursday,542,July,21,Monday,Rare cases,May,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.9032258064516129,1,5,-0.0397440770129117,3,0.33979741983449896,0.809208990427828,-0.18655993111095898,4708888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,6,"""2016""",Monday,1131,"""11""",February,48,2011,Sunday,2589,11,December,26,"""2016""",Wednesday,Rare cases,June,18,Tuesday,Rare cases,May,"""2016.0""",312590.0,"""3""",631.0,27901809.0,SIDRA,7.0,-0.24463373621469897,0.9354838709677421,1,5,-0.0580532658556656,3,0.0600210486513625,-0.77519656830339,-0.18655993111095898,3486888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,6,"""2016""",Sunday,Rare cases,"""9""",February,48,2011,Sunday,2589,11,December,26,"""2016""",Wednesday,Rare cases,June,16,Monday,Rare cases,April,"""2016.0""",312590.0,"""3""",631.0,27901809.0,SIDRA,7.0,-0.24463373621469897,0.9354838709677421,1,5,-0.024750279473389,3,0.0605101681814029,-0.719364687495272,-0.18655993111095898,4774888.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,Rare cases,"""2013""",Thursday,Rare cases,"""10""",July,9,2010,Monday,1946,12,March,Rare cases,"""2020""",Thursday,Rare cases,February,7,Thursday,Rare cases,February,"""2020.0""",253306.0,"""0""",332.0,253306.0,Unknown,6.0,-0.26481769939980804,0.419354838709677,5,5,0.0197853838287827,0,-0.7108313306923841,-0.652272595431735,-1.91899971783021,3500000.0
Island 2,VACANT,Rare cases,Unknown,Unknown,Commercial,Vacant,Sell,24,"""2015""",Sunday,892,"""10""",June,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,15,"""2020""",Monday,Rare cases,April,15,Monday,Rare cases,April,"""2020.0""",11459115.0,"""2""",302.0,11459115.0,JB,9.5,3.5503370862989403,0.193548387096774,5,9,0.11734494698015699,2,0.162247030429816,-1.90919367681786,-2.09282310780204,21000000.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,43,"""2018""",Wednesday,Rare cases,October,7,Monday,Rare cases,February,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.7741935483870971,3,4,-0.10170045199204301,4,-0.0925842447212573,0.6313914876860071,1.4647622736214299,1261000.0
Wadi Al Safa 7,PREMISED,Rare cases,ARABIAN RANCHES - SAMARA COMMUNITY,558 Villa,Residential,Existing Building,Delayed Sell,28,"""2014""",Tuesday,551,"""9""",July,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,51,"""2017""",Sunday,Rare cases,December,40,Sunday,Rare cases,October,"""2017.0""",90787.0,"""1""",665.0,12206039.0,SAMARA,7.0,-0.320149281494146,0.7741935483870971,2,5,-0.0565670045565103,1,1.48629359824931,0.7278070465605301,0.0104399108571162,3874888.0
Rare cases,VACANT,Unknown,Unknown,Unknown,Residential,Vacant,Sell,28,"""2019""",Thursday,Rare cases,"""9""",July,Rare cases,Rare cases,Rare cases,Rare cases,11,Rare cases,28,"""2019""",Sunday,Rare cases,July,28,Sunday,Rare cases,July,"""2019.0""",Rare cases,"""6""",Rare cases,Rare cases,Unknown,15.0,-0.26042811979408603,0.45161290322580605,4,5,-0.0417386784354492,6,1.6315620986713202,-2.04290868547596,-1.8320880228442902,3322625.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,15,"""2018""",Wednesday,Rare cases,April,Rare cases,Sunday,Rare cases,January,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.354838709677419,3,4,-0.0972252700260812,4,-1.0991922375445,0.6313914876860071,1.4647622736214299,1470000.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,28,"""2013""",Wednesday,Rare cases,"""11""",July,9,2010,Monday,1946,12,March,28,"""2019""",Monday,Rare cases,July,28,Monday,Rare cases,July,"""2019.0""",253306.0,"""0""",332.0,253306.0,Unknown,6.0,-0.26481769939980804,0.258064516129032,4,5,0.0867088828287623,0,1.5342273121932701,-0.0062179746520824,-1.91899971783021,5100000.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Wednesday,1190,"""12""",April,48,2011,Sunday,2589,11,December,23,"""2016""",Tuesday,491,June,9,Monday,414,February,"""2016.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.22580645161290303,1,5,-0.0199829137414946,3,-0.142474436785383,0.7754283566615721,-0.18655993111095898,5268888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Thursday,1190,"""10""",April,48,2011,Sunday,2589,11,December,23,"""2016""",Tuesday,491,June,12,Tuesday,Rare cases,March,"""2016.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.22580645161290303,1,5,-0.054757254087929995,3,-0.11948581887348199,0.710212966473938,-0.18655993111095898,3506888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,6,"""2016""",Tuesday,1132,"""10""",February,48,2011,Sunday,2589,11,December,15,"""2019""",Tuesday,Rare cases,April,15,Tuesday,Rare cases,April,"""2019.0""",312590.0,"""3""",631.0,27901809.0,SIDRA,7.0,-0.24463373621469897,0.29032258064516103,4,5,-0.0539790912011105,3,-1.05419324078078,-0.7325016006265941,-0.18655993111095898,3284000.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""8""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Thursday,542,July,29,Sunday,560,July,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.9032258064516129,1,5,-0.0381624087697785,3,0.326102072993366,0.6698638761420209,-0.18655993111095898,4715888.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,33,"""2013""",Monday,Rare cases,"""10""",August,9,2010,Monday,1946,12,March,20,"""2019""",Tuesday,Rare cases,May,20,Tuesday,Rare cases,May,"""2019.0""",253306.0,"""0""",332.0,253306.0,Unknown,6.0,-0.26481769939980804,0.45161290322580605,4,5,0.0666167767204219,0,0.7623966937894459,0.0195866761415857,-1.91899971783021,4875000.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Thursday,1190,"""10""",April,48,2011,Sunday,2589,11,December,40,"""2018""",Thursday,Rare cases,October,40,Thursday,Rare cases,October,"""2018.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.129032258064516,3,5,-0.0508351342503396,3,-0.253993689634605,0.729449160701945,-0.18655993111095898,3046000.0
Wadi Al Safa 7,PREMISED,Rare cases,ARABIAN RANCHES - SAMARA COMMUNITY,558 Villa,Residential,Existing Building,Delayed Sell,28,"""2014""",Monday,550,"""11""",July,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,42,"""2019""",Thursday,Rare cases,October,52,Saturday,Rare cases,December,"""2019.0""",90787.0,"""1""",665.0,12206039.0,SAMARA,6.75,-0.320149281494146,0.548387096774194,4,5,-0.0522572940090098,1,0.40631767592,-0.194122749976883,0.0104399108571162,4675888.0
Wadi Al Safa 7,VACANT,Rare cases,ARABIAN RANCHES- AZALEA COMMUNITY,558 Villa,Residential,Vacant,Delayed Sell,10,"""2015""",Sunday,794,"""11""",March,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,31,"""2015""",Wednesday,Rare cases,July,17,Sunday,Rare cases,April,"""2015.0""",90787.0,"""2""",665.0,12631339.0,AR,6.75,-0.320149281494146,0.9354838709677421,0,5,-0.0441059632329002,2,0.652833919060386,-0.336048329342058,0.0104399108571162,3621888.0
Wadi Al Safa 7,PREMISED,Rare cases,ARABIAN RANCHES - SAMARA COMMUNITY,558 Villa,Residential,Existing Building,Delayed Sell,28,"""2014""",Tuesday,552,"""13""",July,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,Rare cases,"""2019""",Wednesday,Rare cases,August,Rare cases,Wednesday,Rare cases,October,"""2019.0""",90787.0,"""1""",665.0,12206039.0,SAMARA,7.0,-0.320149281494146,0.45161290322580605,4,5,-0.0310620451109252,1,-0.0974754400216618,0.39621728386189503,0.0104399108571162,4780888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,14,"""2016""",Sunday,Rare cases,"""8""",April,48,2011,Sunday,2589,11,December,Rare cases,"""2019""",Tuesday,Rare cases,August,15,Wednesday,Rare cases,April,"""2019.0""",312590.0,"""3""",631.0,27901811.0,SIDRA,7.0,-0.24463373621469897,0.6451612903225811,4,5,-0.0512480674297438,3,-0.0510090846678192,0.72663410788809,-0.18655993111095898,3953888.0
